Customer_ID,Age,Gender,Marital_Status,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Total_Purchase_Amount,Purchase_Channel,Customer_Satisfaction,Time_of_Purchase,Purchase_Intent,Shipping_Preference
37-611-6911,22,Female,Married,WashingtonDC,Gardening & Outdoors,$333.80,4,"$1,335.20",Mixed,7,03/01/2024,Need-based,No Preference
29-392-9296,49,Male,Married,Glenwood,Food & Beverages,$222.22,11,"$2,444.42",In-Store,5,4/16/2024,Wants-based,Standard
84-649-5117,24,Female,Single,Suburban,Office Supplies,$426.22,2,$852.44,Mixed,7,3/15/2024,Impulsive,No Preference
48-980-6078,29,Female,Single,Brookhaven,Home Appliances,$101.31,6,$607.86,Mixed,1,10/04/2024,Need-based,Express
91-170-9072,33,Female,Widowed,Silverwood,Furniture,$211.70,6,"$1,270.20",Mixed,10,1/30/2024,Wants-based,No Preference
82-561-4233,45,Male,Married,Fairmont,Office Supplies,$487.95,8,"$3,903.60",Mixed,3,3/19/2024,Planned,No Preference
90-144-9193,21,Female,Divorced,Windmere,Furniture,$486.40,12,"$5,836.80",Online,9,3/15/2024,Need-based,Express
88-661-4689,39,Male,Single,Stonebridge,Books,$218.06,6,"$1,308.36",Online,9,3/17/2024,Impulsive,No Preference
37-065-3182,24,Female,Divorced,Maplewood,Office Supplies,$201.96,8,"$1,615.68",In-Store,2,06/10/2024,Need-based,Standard
84-894-9222,25,Bigender,Married,Kingsport,Sports & Outdoors,$418.83,7,"$2,931.81",Online,5,10/07/2024,Need-based,No Preference
44-674-4037,33,Male,Divorced,Crestwood,Mobile Accessories,$389.70,12,"$4,676.40",In-Store,4,07/02/2024,Planned,Express
78-116-8349,38,Female,Widowed,Thornfield,Sports & Outdoors,$238.93,5,"$1,194.65",Online,10,12/27/2024,Planned,No Preference
19-933-8095,34,Male,Single,Bridgeport,Luxury Goods,$61.22,7,$428.54,In-Store,7,08/05/2024,Need-based,No Preference
80-684-5072,32,Male,Married,Brighton,Animal Feed,$79.81,4,$319.24,Mixed,9,7/16/2024,Wants-based,Standard
