Customer_ID,Age,Gender,Income_Level,Marital_Status,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Total_Purchase_Amount,Purchase_Channel,Customer_Satisfaction,Payment_Method,Time_of_Purchase,Discount_Used,Purchase_Intent,Shipping_Preference
37-611-6911,22,Female,Middle,Married,Évry,Gardening & Outdoors,$333.80,4.00,"$1,335.20",Mixed,7,Credit Card,03/01/2024,TRUE,Need-based,No Preference
29-392-9296,49,Male,High,Married,Huocheng,Food & Beverages,$222.22,11.00,"$2,444.42",In-Store,5,PayPal,4/16/2024,TRUE,Wants-based,Standard
84-649-5117,24,Female,Middle,Single,Huzhen,Office Supplies,$426.22,2.00,$852.44,Mixed,7,Debit Card,3/15/2024,TRUE,Impulsive,No Preference
48-980-6078,29,Female,Middle,Single,Wiwilí,Home Appliances,$101.31,6.00,$607.86,Mixed,1,Other,10/04/2024,TRUE,Need-based,Express
91-170-9072,33,Female,Middle,Widowed,Nara,Furniture,$211.70,6.00,"$1,270.20",Mixed,10,Debit Card,1/30/2024,FALSE,Wants-based,No Preference
82-561-4233,45,Male,Middle,Married,Boro Utara,Office Supplies,$487.95,8.00,"$3,903.60",Mixed,3,Debit Card,3/19/2024,FALSE,Planned,No Preference
90-144-9193,21,Female,Middle,Divorced,Liren,Furniture,$486.40,12.00,"$5,836.80",Online,9,Debit Card,3/15/2024,TRUE,Need-based,Express
88-661-4689,39,Male,Middle,Single,Taocheng,Books,$218.06,6.00,"$1,308.36",Online,9,Credit Card,3/17/2024,FALSE,Impulsive,No Preference
37-065-3182,24,Female,High,Divorced,Gråbo,Office Supplies,$201.96,8.00,"$1,615.68",In-Store,2,Cash,06/10/2024,FALSE,Need-based,Standard
84-894-9222,25,Bigender,High,Married,Pryamitsyno,Sports & Outdoors,$418.83,7.00,"$2,931.81",Online,5,PayPal,10/07/2024,TRUE,Need-based,No Preference
44-674-4037,33,Male,Middle,Divorced,Punta Gorda,Mobile Accessories,$389.70,12.00,"$4,676.40",In-Store,4,PayPal,07/02/2024,TRUE,Planned,Express
78-116-8349,38,Female,High,Widowed,Győr,Sports & Outdoors,$238.93,5.00,"$1,194.65",Online,10,Cash,12/27/2024,TRUE,Planned,No Preference
19-933-8095,34,Male,Middle,Single,Gaosheng,Luxury Goods,$61.22,7.00,$428.54,In-Store,7,Debit Card,08/05/2024,TRUE,Need-based,No Preference
80-684-5072,32,Male,High,Married,Rokytne,Animal Feed,$79.81,4.00,$319.24,Mixed,9,Debit Card,7/16/2024,FALSE,Wants-based,Standard
23-302-7502,30,Female,High,Widowed,Alameda,Health Care,$58.51,2.00,$117.02,Online,4,PayPal,12/14/2024,TRUE,Planned,No Preference
90-069-8934,40,Male,High,Divorced,Dhankutā,Hotels,$109.29,3.00,$327.87,Online,2,Debit Card,08/11/2024,FALSE,Wants-based,Express
45-073-7243,37,Male,High,Single,Jindong,Furniture,$356.45,6.00,"$2,138.70",Mixed,7,Credit Card,10/18/2024,FALSE,Planned,Standard
89-883-2101,38,Female,Middle,Divorced,Ngeru,Mobile Accessories,$236.99,10.00,"$2,369.90",Mixed,8,PayPal,12/09/2024,TRUE,Impulsive,No Preference
00-477-9449,36,Male,Middle,Widowed,White Rock,Packages),$454.39,10.00,"$4,543.90",In-Store,3,Other,7/23/2024,FALSE,Impulsive,Standard
67-159-7366,29,Female,High,Widowed,Monastyrshchina,Electronics,$490.75,10.00,"$4,907.50",In-Store,4,Debit Card,07/08/2024,FALSE,Wants-based,Standard
85-691-4293,21,Female,Middle,Widowed,Pangkalanbunut,Software & Apps,$463.07,7.00,"$3,241.49",Mixed,2,PayPal,7/23/2024,TRUE,Wants-based,No Preference
56-085-0464,36,Female,High,Married,Lederaba,Baby Products,$56.74,5.00,$283.70,Online,6,Other,7/31/2024,TRUE,Impulsive,Express
33-264-2822,38,Male,High,Divorced,Lugo,Toys & Games,$371.32,7.00,"$2,599.24",In-Store,1,Debit Card,2/25/2024,TRUE,Impulsive,Standard
95-478-2650,37,Female,Middle,Single,São Roque,Software & Apps,$461.00,7.00,"$3,227.00",Online,8,Cash,07/10/2024,FALSE,Wants-based,Standard
04-349-6759,33,Female,High,Married,Banī Khaddāsh,Food & Beverages,$253.37,6.00,"$1,520.22",In-Store,10,Other,12/25/2024,TRUE,Impulsive,Standard
